Month   Day   Inches
Nov     27    0.3
Nov     28    2.3
Dec     6     0.3
Jan     3     1.4
Jan     6     0.2
Jan     9     0.2
Jan     15    0.8
Jan     24    5.1
Jan     26    2.3
Jan     27   22.1
Jan     28    0.2
Jan     30    0.7
Jan     31    1.3
Feb     2    16.2
Feb     5     0.8
Feb     7     0.9
Feb     8     7.4
Feb     9    14.0
Feb    10     1.5
Feb    11     0.5
Feb    12     1.0
Feb    14     3.2
Feb    15    13.0
Feb    17     0.6
Feb    19     2.4
Feb    21     1.1
Feb    22     0.1
Feb    25     1.9
Feb    26     0.2
Mar     1     1.9
Mar     2     0.2
Mar     3     1.6
Mar    15     2.9
Mar    20     0.5
Mar    21     1.2
